
jrc52006PC0031-en,0.4,0 0 1 5 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc52006PC0031-en,0.0,0 0 0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc52006PC0546-en,1.0,5,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc52006PC0546-en,1.0,5,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc52006PC0546-en,0.3333333333333333,5 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc52006PC0546-en,0.3333333333333333,5 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc52006PC0546-en,0.4,5 0 0 1 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc52006PC0546-en,0.2,5 0 0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc22006D0017-en,0.0,0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc22006D0017-en,0.0,0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc22006D0017-en,0.0,0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc22006D0017-en,0.0,0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc22006D0017-en,0.0,0 0 0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc22006D0017-en,0.0,0 0 0 0 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc32005D0346-en,1.0,4,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc32005D0346-en,1.0,4,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc32005D0346-en,1.0,4 2 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc32005D0346-en,1.0,4 2 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc32005D0346-en,0.8,4 2 2 2 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc32005D0346-en,0.8,4 2 2 2 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc32005R1188-en,1.0,3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc32005R1188-en,1.0,3,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc32005R1188-en,0.6666666666666666,3 5 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc32005R1188-en,0.6666666666666666,3 5 0,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc32005R1188-en,0.8,3 5 0 1 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc32005R1188-en,0.8,3 5 0 1 1,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
jrc32004R1926-en,1.0,6,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1,jrc32004R1926-en,1.0,6,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,1
jrc32004R1926-en,1.0,6 6 5,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3,jrc32004R1926-en,1.0,6 5 6,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,3
jrc32004R1926-en,1.0,6 6 5 5 4,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5,jrc32004R1926-en,1.0,6 5 6 5 2,ocds-0c46vo-0005-40993_40993 relevance_2 -1 4361 put 1370,5
